subject,question_no,file,official_answer,priority,line_count,char_count,flags
형사법,4,q004_형사법.md,19,manual,114,6344,
형사법,5,q005_형사법.md,1,manual,177,12317,
형사법,6,q006_형사법.md,3,manual,222,12093,
형사법,7,q007_형사법.md,5,manual,134,9118,
형사법,8,q008_형사법.md,1,manual,96,3910,
형사법,9,q009_형사법.md,4,manual,268,16396,
형사법,10,q010_형사법.md,2,manual,137,6242,
형사법,11,q011_형사법.md,3,manual,91,3834,
형사법,12,q012_형사법.md,4,manual,142,6373,
형사법,13,q013_형사법.md,2,manual,121,8578,
형사법,14,q014_형사법.md,1,manual,218,14296,
형사법,15,q015_형사법.md,5,manual,153,11953,
형사법,16,q016_형사법.md,2,manual,183,15237,
형사법,17,q017_형사법.md,1,manual,81,4308,
형사법,18,q018_형사법.md,2,manual,83,4374,
형사법,19,q019_형사법.md,2,manual,322,19128,
형사법,20,q020_형사법.md,1,manual,170,6701,
형사법,21,q021_형사법.md,5,manual,238,10081,
형사법,22,q022_형사법.md,4,manual,139,6495,
형사법,23,q023_형사법.md,5,manual,163,6591,
형사법,24,q024_형사법.md,1,manual,121,4738,
형사법,25,q025_형사법.md,4,manual,133,5393,
형사법,26,q026_형사법.md,3,manual,137,6485,
형사법,27,q027_형사법.md,2,manual,233,8893,
형사법,28,q028_형사법.md,2,manual,166,6699,
형사법,29,q029_형사법.md,1,manual,123,7419,
형사법,30,q030_형사법.md,3,manual,140,6336,
형사법,31,q031_형사법.md,5,manual,157,6252,
형사법,32,q032_형사법.md,3,manual,171,6741,
형사법,33,q033_형사법.md,2,manual,208,8033,
형사법,34,q034_형사법.md,4,manual,144,6544,
형사법,35,q035_형사법.md,3,manual,215,17092,
형사법,36,q036_형사법.md,3,manual,178,14570,
형사법,37,q037_형사법.md,3,manual,160,9751,
형사법,38,q038_형사법.md,5,manual,172,7376,
형사법,39,q039_형사법.md,5,manual,180,8222,
형사법,40,q040_형사법.md,4,manual,178,6731,
